name,position,recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,pass_ypg,rush_ypg,rec_ypg,ppg,ypg,ypa,ypc,ypr,touches,ypt,comp_percentage,int_percentage,pass_td_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pr,ht,wt
A.J. Green,WR,ARI,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,92,848,3,0,0,1109,181,37,0,2.63703355193138,4.30269102752209,102.8,156.8,848,16,0,0,53,9.8,53,0,0,15.7,54,15.7,0,0,0,0,0.056,3,0.056,33.87,6-4,211
A.J. Green,WR,ARI,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,47,236,2,0,0,515,56,11,1,1.25159954279661,2.03024559095502,37.6,61.6,236,13,0,0,18.15,4.74,18.15,0,0,9.83,24,9.83,0,0,0,0,0.083,2,0.083,33.87,6-4,211
A.J. Green,WR,CIN,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53,0,1,0,3,0,65,115,1057,7,0,0,1559,265,43,0,3.60749416053295,5.937350705266,153,218,1110,15,0,3.53,70.47,14.53,74,0,10.6,16.26,70,15.86,0,0,0,0,0.108,7,0.1,33.87,6-4,211
A.J. Green,WR,CIN,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,2,0,97,164,1350,11,2,1,2235,381,61,0,4.94833952188492,7.5385529845953,202.8,299.8,1388,16,0,2.38,84.38,18.74,86.75,0,9.5,13.92,101,13.74,0,0,0,0,0.113,11,0.109,33.87,6-4,211
A.J. Green,WR,CIN,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,178,1426,11,1,0,2256,393,65,0,4.84164786338806,7.45946042239666,208.6,306.6,1426,16,0,0,89.12,19.16,89.12,0,0,14.55,98,14.55,0,0,0,0,0.112,11,0.112,33.87,6-4,211
A.J. Green,WR,CIN,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,69,116,1041,6,2,2,1548,314,46,0,3.80094616115093,6.26620620489121,136.3,205.3,1043,12,0,0.17,86.75,17.11,86.92,0,1,15.09,71,14.69,0,0,0,0,0.087,6,0.085,33.87,6-4,211
A.J. Green,WR,CIN,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,132,1297,10,1,1,1686,341,63,0,4.22665438055992,6.03639547526836,187.7,273.7,1297,16,0,0,81.06,17.11,81.06,0,0,15.08,86,15.08,0,0,0,0,0.116,10,0.116,33.87,6-4,211
A.J. Green,WR,CIN,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,100,964,4,0,0,1236,258,41,0,3.04326511360705,4.14709405601025,120.4,186.4,964,10,0,0,96.4,18.64,96.4,0,0,14.61,66,14.61,0,0,0,0,0.061,4,0.061,33.87,6-4,211
A.J. Green,WR,CIN,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,143,1078,8,2,2,1873,297,55,0,4.64464677125216,7.29073491692543,151.8,226.8,1078,16,0,0,67.38,14.18,67.38,0,0,14.37,75,14.37,0,0,0,0,0.107,8,0.107,33.87,6-4,211
A.J. Green,WR,CIN,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,77,694,6,2,1,958,163,37,0,2.18817025609314,3.60186991002411,103.4,149.4,694,9,0,0,77.11,16.6,77.11,0,0,15.09,46,15.09,0,0,0,0,0.13,6,0.13,33.87,6-4,211
