name,position,recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,pass_ypg,rush_ypg,rec_ypg,ppg,ypg,ypa,ypc,ypr,touches,ypt,comp_percentage,int_percentage,pass_td_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pr,ht,wt
David Fales,QB,NYJ,2019,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,6-2,212
David Fluellen,RB,TEN,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0.0270270276814699,0.0103448275476694,2.1,2.1,21,3,0,7,0,0.7,7,0,5.25,0,4,5.25,0,0,0,0,0,0,0,33.87,5-11,224
David Fluellen,RB,TEN,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,16,2,0,8,0,0.8,8,0,4,0,4,4,0,0,0,0,0,0,0,33.87,5-11,224
David Garrard,QB,JAX,2002,23,46,231,1,2,7,40,0,0,0,0,16,0,25,139,2,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33.14,33.14,370,4,57.75,34.75,0,8.28,92.5,5.02,5.56,0,71,5.21,0.5,0.043,0.022,0.08,0,3,0.042,66.29,6-2,235
David Garrard,QB,JAX,2003,9,12,86,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,7.44,86,1,86,0,0,7.44,86,7.17,0,0,12,7.17,0.75,0,0.083,0,0,1,0.083,116.42,6-2,235
David Garrard,QB,JAX,2004,38,72,374,2,1,6,35,0,0,0,0,21,0,12,76,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56,34.56,450,4,93.5,19,0,8.64,112.5,5.19,6.33,0,84,5.36,0.528,0.014,0.028,0.083,0,3,0.036,71.33,6-2,235
David Garrard,QB,JAX,2005,98,168,1117,4,1,10,58,3,0,0,0,63,0,29,185,3,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,95.18,95.18,1302,7,159.57,26.43,0,13.6,186,6.65,6.38,0,197,6.61,0.583,0.006,0.024,0.103,0,7,0.036,80.67,6-2,235
David Garrard,QB,JAX,2006,145,241,1735,10,9,20,119,2,1,2286,769,81,0,47,250,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,112.4,112.4,1985,10,173.5,25,0,11.24,198.5,7.2,5.32,0,288,6.89,0.602,0.037,0.041,0,0,10,0.035,90.21,6-2,235
David Garrard,QB,JAX,2007,208,325,2509,18,3,20,96,3,2,2994,969,126,0,50,182,1,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,188.56,188.56,2691,12,209.08,15.17,0,15.71,224.25,7.72,3.64,0,375,7.18,0.64,0.009,0.055,0.02,0,19,0.051,100.21,6-2,235
David Garrard,QB,JAX,2008,335,535,3620,15,13,42,288,6,3,4506,1499,182,0,73,322,2,1,0,31,0,1,1,-6,0,0,0,-6,0,0,0,0.0285714287310839,-0.0212014131247997,216.4,217.4,3936,16,226.25,20.12,-0.38,13.59,246,6.77,4.41,-6,609,6.46,0.626,0.024,0.028,0.027,0,17,0.028,86.08,6-2,235
David Garrard,QB,JAX,2009,314,516,3597,15,10,42,231,9,5,4224,1521,170,0,77,323,3,5,3,31,1,0,0,0,0,0,0,0,0,0,0,0,0,220.18,220.18,3920,16,224.81,20.19,0,13.76,245,6.97,4.19,0,593,6.61,0.609,0.019,0.029,0.039,0,18,0.03,85.83,6-2,235
David Garrard,QB,JAX,2010,236,366,2734,23,15,33,253,6,2,3149,1181,130,0,66,279,5,5,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,221.26,221.26,3013,14,195.29,19.93,0,15.8,215.21,7.47,4.23,0,432,6.97,0.645,0.041,0.063,0.076,0,28,0.065,102.25,6-2,235
David Gettis,WR,CAR,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,37,67,508,3,0,0,799,155,24,0,2.36026634275913,3.67771243304014,69,106,510,14,0,0.14,36.29,7.57,36.43,0,0.67,13.73,40,12.75,0,0,0,0,0.081,3,0.075,33.87,6-3,217
David Gilreath,WR,PIT,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,50,0,0,0,0.0550527907907963,0.123075791634619,0.7,0.7,7,2,0,3.5,0,0.35,3.5,0,7,0,1,7,0,0,0,0,0,0,0,33.87,0,0
David Givens,WR,NE,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,92,1,1,0,0,0,4,0,0.386338770389557,0,15.2,24.2,92,8,0,0,11.5,3.02,11.5,0,0,10.22,9,10.22,0,0,0,0,0.111,1,0.111,33.87,6-0,217
David Givens,WR,NE,2003,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,54,510,6,0,0,0,0,24,0,1.70890056341887,0,85,119,510,11,0,0,46.36,10.82,46.36,0,0,15,35,14.57,0,1,0,0,0.176,6,0.171,410.96,6-0,217
David Givens,WR,NE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,106,874,3,0,0,0,0,47,0,3.62067366763949,0,105.4,161.4,874,15,0,0,58.27,10.76,58.27,0,0,15.61,56,15.61,0,0,0,0,0.054,3,0.054,33.87,6-0,217
David Givens,WR,NE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,59,59,738,2,0,0,0,0,32,0,2.68121417611837,0,87.1,146.1,751,13,0,1,56.77,11.24,57.77,0,6.5,12.51,61,12.31,0,0,0,0,0.034,2,0.033,33.87,6-0,217
David Givens,WR,TEN,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,8,8,104,0,0,0,71,33,5,0,0.48053789883852,0.4985441416502,10.7,18.7,107,4,0,0.75,26,4.68,26.75,0,3,13,9,11.89,0,0,0,0,0,0,0,33.87,6-0,217
David Grinnage,TE,JAX,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,61,0,0,0,63,18,2,0,0.210412763059139,0.25290490873158,6.1,12.1,61,3,0,0,20.33,4.03,20.33,0,0,10.17,6,10.17,0,0,0,0,0,0,0,33.87,6-5,248
David Johnson,RB,ARI,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,125,581,8,2,0,34,0,36,57,457,4,1,0,269,347,21,0,1.61382047645748,0.741694131400436,181.8,217.8,1038,16,0,36.31,28.56,13.61,64.88,0,4.65,12.69,161,6.45,0,0,0,0.064,0.111,12,0.075,33.87,6-1,224
David Johnson,RB,ARI,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,293,1239,16,5,3,72,0,80,120,879,4,0,0,529,661,42,1,3.07118880003691,1.4550624312833,327.8,407.8,2118,16,0,77.44,54.94,25.49,132.38,0,4.23,10.99,373,5.68,0,0,0,0.055,0.05,20,0.054,33.87,6-1,224
David Johnson,RB,ARI,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,0,1,1,0,0,6,9,67,0,1,0,34,46,3,0,0.191489368677139,0.0807600915431976,7,13,90,1,0,23,67,13,90,0,2.09,11.17,17,5.29,0,0,0,0,0,0,0,33.87,6-1,224
David Johnson,RB,ARI,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,258,940,7,2,2,51,1,50,76,446,3,1,0,63,385,22,0,2.50689948350191,0.230098368600011,196.6,246.6,1386,16,0,58.75,27.88,15.41,86.62,0,3.64,8.92,308,4.5,0,0,0,0.027,0.06,10,0.032,33.87,6-1,224
David Johnson,RB,ARI,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,94,345,2,0,0,20,0,36,47,370,4,1,1,181,226,17,0,1.32478404603899,0.608881406486034,105.5,141.5,715,12,0,28.75,30.83,11.79,59.58,0,3.67,10.28,130,5.5,0,0,0,0.021,0.111,6,0.046,33.87,6-1,224
David Johnson,RB,HOU,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,147,691,6,0,0,38,0,33,46,314,2,2,1,168,235,16,0,1.32208713516593,0.551293724216521,146.5,179.5,1005,12,0,57.58,26.17,14.96,83.75,0,4.7,9.52,180,5.58,0,0,0,0.041,0.061,8,0.044,33.87,6-1,224
David Johnson,RB,HOU,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,67,228,0,1,1,7,0,32,42,225,1,0,0,87,191,11,0,1.46022700704634,0.291026175487787,49.3,81.3,453,13,0,17.54,17.31,6.25,34.85,0,3.4,7.03,99,4.58,0,0,0,0,0.031,1,0.01,33.87,6-1,224
David Johnson,RB,NO,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,1,1,0,0,4,4,47,0,0,0,1,46,3,0,0.188465610146523,0.0253512859344482,5.1,9.1,71,4,0,6,11.75,2.28,17.75,0,2,11.75,16,4.44,0,0,0,0,0,0,0,33.87,6-1,224
David Johnson,TE,LAC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,2,2,0,0,0.0294117648154497,0.00970873795449734,0.4,1.4,4,1,0,0,4,1.4,4,0,0,4,1,4,0,0,0,0,0,0,0,33.87,6-1,224
David Johnson,TE,LAC,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,1,2,4,0,1,1,0,4,0,0,0.0474351905286312,0,-1.2,-0.2,8,4,0,1,1,-0.05,2,0,2,4,3,2.67,0,0,0,0,0,0,0,33.87,6-1,224
David Johnson,TE,PIT,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,16,5,0,0,0.124808844178915,0.0498170736245811,0.9,2.9,9,4,0,0,2.25,0.72,2.25,0,0,4.5,2,4.5,0,0,0,0,0,0,0,33.87,6-1,224
David Johnson,TE,PIT,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,46,0,0,0,28,30,2,0,0.202874645590782,0.099653403274715,4.6,8.6,46,4,0,0,11.5,2.15,11.5,0,0,11.5,4,11.5,0,0,0,0,0,0,0,33.87,6-1,224
David Johnson,TE,PIT,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,91,1,0,0,38,56,5,0,0.458381820470095,0.139904536539689,15.1,27.1,91,10,0,0,9.1,2.71,9.1,0,0,7.58,12,7.58,0,0,0,0,0.083,1,0.083,33.87,6-1,224
David Johnson,TE,PIT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,70,0,0,0,48,31,3,0,0.152528133243322,0.114207416772842,7,11,70,4,0,0,17.5,2.75,17.5,0,0,17.5,4,17.5,0,0,0,0,0,0,0,33.87,6-1,224
David Johnson,TE,PIT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,80,0,0,0,57,54,5,1,0.302498806267977,0.151122235227376,10,17,80,11,0,0,7.27,1.55,7.27,0,0,11.43,7,11.43,0,0,0,0,0,0,0,33.87,6-1,224
David Kircus,WR,DEN,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,187,0,0,0,131,56,9,0,0.556208804249764,1.08917557820678,18.7,27.7,187,7,0,0,26.71,3.96,26.71,0,0,20.78,9,20.78,0,0,0,0,0,0,0,33.87,0,0
David Kircus,WR,DET,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,53,0,0,0,0,0,3,0,0.32884718850255,0,5.3,8.3,53,5,0,0,10.6,1.66,10.6,0,0,17.67,3,17.67,0,0,0,0,0,0,0,33.87,0,0
David Kircus,WR,DET,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,68,1,0,0,0,0,2,0,0.27767238765955,0,12.8,15.8,68,4,0,0,17,3.95,17,0,0,22.67,3,22.67,0,0,0,0,0.333,1,0.333,33.87,0,0
David LaFleur,TE,DAL,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,52,316,7,0,0,0,0,17,0,1.63074969686568,0,73.6,107.6,316,16,0,0,19.75,6.72,19.75,0,0,9.29,34,9.29,0,0,0,0,0.206,7,0.206,33.87,0,0
David LaFleur,TE,DAL,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,109,1,0,0,0,0,7,0,0.779104191809893,0,16.9,28.9,109,10,0,0,10.9,2.89,10.9,0,0,9.08,12,9.08,0,0,0,0,0.083,1,0.083,33.87,0,0
David Martin,TE,BUF,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,43,1,0,0,28,15,3,0,0.271722743287683,0.108162791468203,10.3,17.3,43,6,0,0,7.17,2.88,7.17,0,0,6.14,7,6.14,0,0,0,0,0.143,1,0.143,33.87,6-4,242
David Martin,TE,GB,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,144,1,0,0,0,0,7,0,0.625122249126434,0,20.4,33.4,144,10,0,0,14.4,3.34,14.4,0,0,11.08,13,11.08,0,0,0,0,0.077,1,0.077,33.87,6-4,242
David Martin,TE,GB,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,33,1,0,0,0,0,3,0,0.321408875286579,0,9.3,17.3,33,6,0,0,5.5,2.88,5.5,0,0,4.12,8,4.12,0,0,0,0,0.125,1,0.125,33.87,6-4,242
David Martin,TE,GB,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,79,2,0,0,0,0,7,0,0.56835376098752,0,19.9,32.9,79,8,0,0,9.88,4.11,9.88,0,0,6.08,13,6.08,0,0,0,0,0.154,2,0.154,33.87,6-4,242
David Martin,TE,GB,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,88,0,0,0,0,0,3,0,0.370202582329512,0,8.8,13.8,88,8,0,0,11,1.72,11,0,0,17.6,5,17.6,0,0,0,0,0,0,0,33.87,6-4,242
David Martin,TE,GB,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,224,3,0,0,0,0,14,1,1.13723424449563,0,42.4,69.4,224,10,0,0,22.4,6.94,22.4,0,0,8.3,27,8.3,0,0,0,0,0.111,3,0.111,33.87,6-4,242
David Martin,TE,GB,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,198,2,0,0,122,78,13,0,0.920750692486763,0.850522995460779,31.8,52.8,198,9,0,0,22,5.87,22,0,0,9.43,21,9.43,0,0,0,0,0.095,2,0.095,33.87,6-4,242
David Martin,TE,MIA,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,303,2,0,0,229,74,16,0,1.72958363965154,2.04874379746616,42.3,76.3,303,14,0,0,21.64,5.45,21.64,0,0,8.91,34,8.91,0,0,0,0,0.059,2,0.059,33.87,6-4,242
David Martin,TE,MIA,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,440,3,1,1,331,109,20,0,1.51718994230032,2.4243825301528,60,91,440,15,0,0,29.33,6.07,29.33,0,0,14.19,31,14.19,0,0,0,0,0.097,3,0.097,33.87,6-4,242
David Montgomery,RB,CHI,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,242,889,6,2,2,50,0,25,35,185,1,0,0,94,156,7,0,1.07169817760587,0.334362139459699,145.4,170.4,1074,16,0,55.56,11.56,10.65,67.12,0,3.67,7.4,267,4.02,0,0,0,0.025,0.04,7,0.026,33.87,5-10,222
David Montgomery,RB,CHI,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1070,8,0,0,59,1,54,68,438,2,1,1,64,396,25,0,1.79037662222982,0.199932706775144,210.8,264.8,1508,15,0,71.33,29.2,17.65,100.53,0,4.33,8.11,301,5.01,0,0,0,0.032,0.037,10,0.033,33.87,5-10,222
David Montgomery,RB,CHI,2021,0,1,0,0,1,0,0,0,0,9,0,0,0,225,849,7,2,1,55,0,42,51,301,0,0,0,45,273,18,0,1.57264566607773,0.190871954662725,153,195,1150,13,0,65.31,23.15,15,88.46,0,3.77,7.17,268,4.29,0,1,0,0.031,0,7,0.026,410.96,5-10,222
David Montgomery,RB,CHI,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,201,801,5,1,1,41,0,34,40,316,1,1,1,51,283,10,0,1.95283126085997,0.332539324183017,143.7,177.7,1117,16,0,50.06,19.75,11.11,69.81,0,3.99,9.29,235,4.75,0,0,0,0.025,0.029,6,0.026,33.87,5-10,222
David Moore,WR,DEN,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0.0571428574621677,0.0897435918450356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,6-0,200
David Moore,WR,SEA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,26,53,445,5,2,0,839,93,19,0,2.25019322708249,3.78183290734887,75,101,450,14,0,0.36,31.79,7.21,32.14,0,5,17.12,27,16.67,0,0,0,0,0.192,5,0.185,33.87,6-0,200
David Moore,WR,SEA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,1,0,17,34,301,2,1,1,482,128,14,0,1.13392702117562,1.62919701263309,42.6,59.6,326,13,0,1.92,23.15,4.58,25.08,0,8.33,17.71,20,16.3,0,0,0,0,0.118,2,0.1,33.87,6-0,200
David Moore,WR,SEA,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,0,0,0,4,0,35,47,417,6,0,0,416,169,18,0,1.43347331136465,1.4515105956234,83.8,118.8,478,16,0,3.81,26.06,7.42,29.88,0,7.62,11.91,43,11.12,0,0,0,0,0.171,6,0.14,33.87,6-0,200
David Morgan,TE,MIN,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,2,2,0,0,0.0199999995529652,0.00555555569007993,0.4,1.4,4,1,0,0,4,1.4,4,0,0,4,1,4,0,0,0,0,0,0,0,33.87,6-4,262
David Morgan,TE,MIN,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,95,1,0,0,73,57,5,0,0.378819962963462,0.279579306952655,15.5,25.5,95,7,0,0,13.57,3.64,13.57,0,0,9.5,10,9.5,0,0,0,0,0.1,1,0.1,33.87,6-4,262
David Morgan,TE,MIN,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,36,0,0,0,12,27,2,0,0.142673287540674,0.04166479408741,3.6,8.6,36,5,0,0,7.2,1.72,7.2,0,0,7.2,5,7.2,0,0,0,0,0,0,0,33.87,6-4,262
David Nelson,WR,BUF,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,47,353,3,0,0,493,78,19,0,1.42244241759181,1.88268242031336,53.3,84.3,353,14,0,0,25.21,6.02,25.21,0,0,11.39,31,11.39,0,0,0,0,0.097,3,0.097,33.87,0,0
David Nelson,WR,BUF,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,98,658,5,0,0,833,199,32,0,2.76867550611496,3.1705938950181,95.8,156.8,658,16,0,0,41.12,9.8,41.12,0,0,10.79,61,10.79,0,0,0,0,0.082,5,0.082,33.87,0,0
David Nelson,WR,BUF,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,31,0,0,0,40,10,2,0,0.15625,0.13071896135807,3.1,5.1,31,1,0,0,31,5.1,31,0,0,15.5,2,15.5,0,0,0,0,0,0,0,33.87,0,0
David Nelson,WR,NYJ,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,61,423,2,0,0,686,108,20,0,2.11035451479256,2.97051385417581,54.3,90.3,423,12,0,0,35.25,7.52,35.25,0,0,11.75,36,11.75,0,0,0,0,0.056,2,0.056,33.87,0,0
David Nelson,WR,NYJ,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,65,0,2,0,187,3,4,0,0.463322892785072,0.624145491048694,6.5,14.5,65,6,0,0,10.83,2.42,10.83,0,0,8.12,8,8.12,0,0,0,0,0,0,0,33.87,0,0
David Njoku,TE,CLE,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32,60,386,4,0,0,609,151,17,0,1.70010586827993,1.98277203086764,62.7,94.7,387,16,0,0.06,24.12,5.92,24.19,0,1,12.06,33,11.73,0,0,0,0,0.125,4,0.121,33.87,6-4,246
David Njoku,TE,CLE,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,88,639,4,0,0,762,306,27,0,2.46949799358845,2.23458977043629,87.9,143.9,639,15,0,0,42.6,9.59,42.6,0,0,11.41,56,11.41,0,0,0,0,0.071,4,0.071,33.87,6-4,246
David Njoku,TE,CLE,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,41,1,0,0,64,16,3,0,0.325508370995522,0.22060707770288,10.1,15.1,41,3,0,0,13.67,5.03,13.67,0,0,8.2,5,8.2,0,0,0,0,0.2,1,0.2,33.87,6-4,246
David Njoku,TE,CLE,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,213,2,0,0,216,87,13,0,0.937913227826357,0.787302005104721,33.3,52.3,213,11,0,0,19.36,4.75,19.36,0,0,11.21,19,11.21,0,0,0,0,0.105,2,0.105,33.87,6-4,246
David Njoku,TE,CLE,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,36,53,475,4,0,0,432,247,17,0,1.85698484256864,1.82617229409516,71.6,107.6,476,15,0,0.07,31.67,7.17,31.73,0,1,13.19,37,12.86,0,0,0,0,0.111,4,0.108,33.87,6-4,246
David Njoku,TE,CLE,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,0,0,0,0,0,58,80,628,4,1,1,522,338,36,0,2.64223265275359,2.16915296763182,84,142,620,14,0,-0.57,44.86,10.14,44.29,0,-4,10.83,60,10.33,0,0,0,0,0.069,4,0.067,33.87,6-4,246
David Palmer,RB,MIN,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,4,7,25,0,0,0,0,0,3,0,0.22377316839993,0,3.7,7.7,37,6,0,2,4.17,1.28,6.17,0,4,6.25,7,5.29,0,0,0,0,0,0,0,33.87,0,0
David Palmer,RB,MIN,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0.0270270276814699,0,-0.2,0.8,-2,1,0,0,-2,0.8,-2,0,0,-2,1,-2,0,0,0,0,0,0,0,33.87,0,0
David Patten,WR,CLE,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,71,541,1,2,1,0,0,19,0,2.3275023214519,0,58.1,95.1,541,12,0,0,45.08,7.93,45.08,0,0,14.62,37,14.62,0,0,0,0,0.027,1,0.027,33.87,0,0
David Patten,WR,NE,2001,1,2,60,1,1,0,0,0,0,0,0,1,0,5,67,1,0,0,3,0,51,93,749,4,1,0,0,0,34,0,3.00791311264038,0,116,167,876,15,4,4.47,49.93,11.13,58.4,30,13.4,14.69,58,15.1,0.5,0.5,0.5,0.2,0.078,6,0.103,298.46,0,0
David Patten,WR,NE,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,61,120,824,5,0,0,0,0,39,0,3.3566340431571,0,113,174,830,16,0,0.38,51.5,10.88,51.88,0,3,13.51,64,12.97,0,0,0,0,0.082,5,0.078,33.87,0,0
David Patten,WR,NE,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,9,22,140,0,0,0,0,0,6,0,0.733784262090921,0,14.4,23.4,144,5,0,0.8,28,4.68,28.8,0,4,15.56,10,14.4,0,0,0,0,0,0,0,33.87,0,0
David Patten,WR,NE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,44,95,800,7,0,0,0,0,37,0,3.14003109559417,0,122.5,166.5,805,16,0,0.31,50,10.41,50.31,0,5,18.18,45,17.89,0,0,0,0,0.159,7,0.156,33.87,0,0
David Patten,WR,NO,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,0,0,0,0,0,54,67,792,3,2,1,741,249,37,0,2.1156434006989,3.72362685576081,94.7,148.7,787,14,0,-0.36,56.57,10.62,56.21,0,-2.5,14.67,56,14.05,0,0,0,0,0.056,3,0.054,33.87,0,0
David Patten,WR,NO,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,162,1,0,0,118,44,7,0,0.430027436465025,0.773199338465929,22.2,33.2,162,5,0,0,32.4,6.64,32.4,0,0,14.73,11,14.73,0,0,0,0,0.091,1,0.091,33.87,0,0
David Patten,WR,NYG,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,1,0,9,28,115,0,0,0,0,0,6,0,0.764554668217897,0,14.2,23.2,142,13,0,2.08,8.85,1.78,10.92,0,27,12.78,10,14.2,0,0,0,0,0,0,0,33.87,0,0
David Patten,WR,WAS,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,217,0,0,0,0,0,10,0,1.12233955785632,0,21.7,43.7,217,8,0,0,27.12,5.46,27.12,0,0,9.86,22,9.86,0,0,0,0,0,0,0,33.87,0,0
David Patten,WR,WAS,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,0,0,0,24,1,1,0,0.0416666679084301,0.510638296604157,2.5,3.5,25,1,0,0,25,3.5,25,0,0,25,1,25,0,0,0,0,0,0,0,33.87,0,0
David Paulson,TE,PIT,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,51,0,1,0,41,29,0,0,0.340923961251974,0.180491917300969,5.1,12.1,51,8,0,0,6.38,1.51,6.38,0,0,7.29,7,7.29,0,0,0,0,0,0,0,33.87,6-3,246
David Paulson,TE,PIT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,102,0,1,1,79,34,3,0,0.282297063618898,0.253830714151263,8.2,14.2,102,5,0,0,20.4,2.84,20.4,0,0,17,6,17,0,0,0,0,0,0,0,33.87,6-3,246
David Reed,WR,BAL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0.0500000007450581,0.040609136223793,7.5,7.5,15,3,0,5,0,2.5,5,0,15,0,1,15,0,0,0,0,0,0,0,33.87,6-0,191
